CTV3Code,Description
Eu30z,"[X] Mania: [episode, unspecified] or [NOS]"
Eu310,"Bipolar affective disorder, current episode hypomanic"
Eu311,[X]Bipolar affect disorder cur epi manic wout psychotic symp
Eu312,[X]Bipolar affect disorder cur epi manic with psychotic symp
Eu313,[X]Bipolar affect disorder cur epi mild or moderate depressn
Eu314,"[X]Bipol aff disord, curr epis sev depress, no psychot symp"
Eu316,"Bipolar affective disorder , current episode mixed"
Eu317,"[X]Bipolar affective disorder, currently in remission"
Eu31y,[X](Bipol affect disord:[II][other]) or (recur manic episod)
Eu31z,"[X]Bipolar affective disorder, unspecified"
Eu323,[X]Sev depress epis + psych symp:(& singl epis [named vars])
Eu333,[X]Depress with psych sympt: [recurr: (named vars)][endogen]
X00Qx,Psychotic episode NOS
X00Qy,Reactive psychoses
X00RU,Epileptic psychosis
X00S6,Psychotic disorder
X00S8,Post-schizophrenic depression
X00SA,Persistent delusional disorder
X00SC,Acute transient psychotic disorder
X00SD,Schizophreniform disorder
X00SJ,Mania
X00SK,Manic stupor
X00SL,Hypomania
X00SM,Bipolar disorder
X00SN,Bipolar II disorder
X50GE,Cutaneous monosymptomatic delusional psychosis
X50GF,Delusions of parasitosis
X50GG,Delusions of infestation
X50GH,Delusion of foul odour
X50GJ,Delusional hyperhidrosis
X761M,Schizophrenic prodrome
XE1Xw,Acute schizophrenic episode
XE1Xx,Other schizophrenia
XE1Xz,"Manic disorder, single episode"
XE1Y2,Chronic paranoid psychosis
XE1Y3,Other non-organic psychoses
XE1Y4,Acute paranoid reaction
XE1Y5,Non-organic psychosis NOS
XE1ZM,[X]Other schizophrenia
XE1ZN,[X]Schizotypal disorder
XE1ZO,Delusional disorder
XE1ZP,[X]Other persistent delusional disorders
XE1ZQ,[X]Acute polymorphic psychot disord without symp of schizoph
XE1ZR,[X]Other acute predominantly delusional psychotic disorders
XE1ZS,"[X]Acute and transient psychotic disorder, unspecified"
XE1ZT,[X]Other non-organic psychotic disorders
XE1ZU,[X]Unspecified nonorganic psychosis
XE1ZV,[X]Mania with psychotic symptoms
XE1ZW,"[X]Manic episode, unspecified"
XE1ZX,[X]Other bipolar affective disorders
XE1ZZ,[X]Severe depressive episode with psychotic symptoms
XE1Ze,[X]Recurrent depress disorder cur epi severe with psyc symp
XE1aM,Schizophrenic psychoses (& [paranoid schizophrenia])
XE1aU,(Paranoid states) or (delusion: [paranoid] or [persecution])
XE2b8,"Schizoaffective disorder, mixed type"
XE2uT,"Schizoaffective disorder, manic type"
XE2un,"Schizoaffective disorder, depressive type"
XM1GG,Borderline schizophrenia
XM1GH,Acute polymorphic psychotic disorder
XSGon,Severe major depression with psychotic features
Xa0lD,Involutional paranoid state
Xa0lF,Delusional dysmorphophobia
Xa0s9,Acute schizophrenia-like psychotic disorder
Xa0tC,Late paraphrenia
Xa1aD,Monosymptomatic hypochondriacal psychosis
Xa1aF,Erotomania
Xa1bS,Othello syndrome
XaB5u,Bouffee delirante
XaB5v,Cycloid psychosis
XaB8j,Oneirophrenia
XaB95,Other manic-depressive psychos
XaK4Y,[X]Erotomania
XaX52,Non-organic psychosis in remission
XaX53,"Single major depress ep, severe with psych, psych in remissn"
XaX54,"Recurr major depress ep, severe with psych, psych in remissn"
XaY1Y,Bipolar I disorder
XagU1,"Recurrent reactiv depressiv episodes, severe, with psychosis"
